order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,hap
Blattodea,Blattellidae,Agmoblatta,Agmoblatta_thaxteri,,XO,,26,25,13
Blattodea,Blattellidae,Amazonina,Amazonina_conspersa,,XO,,24,23,12
Blattodea,Blattellidae,Amazonina,Amazonina_n.sp.,,XO,,26,25,13
Blattodea,Blattellidae,Amazonina,Amazonina_n.sp.38B,,XO,,26,25,13
Blattodea,Blaberidae,Archimandrita,Archimandrita_tessellata,,XO,,46,45,23
Blattodea,Polyphagidae,Arenivaga,Arenivaga_investigata,,XO,,46,45,23
Blattodea,Blattellidae,Attaphila,Attaphila_fungicola,,XO,,34,33,17
Blattodea,Blaberidae,Blaberus,Blaberus_atropos,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_cranifer,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_discoidalis,,XO,,38,37,19
Blattodea,Blaberidae,Blaberus,Blaberus_giganteus,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_parabolicus,,XO,,40,39,20
Blattodea,Blattidae,Blatta,Blatta_orientalis,,XO,,48,47,24
Blattodea,Blattellidae,Blattella,Blattella_bisignata,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_germanica,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_lituricollis_lituricollis,,XO,,26,25,13
Blattodea,Blattellidae,Blattella,Blattella_sauteri,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_sp.C43T,,XO,,28,27,14
Blattodea,Blattellidae,Blattella,Blattella_sp.D,,XO,,30,29,15
Blattodea,Blattellidae,Blattella,Blattella_sp.E71A,,XO,,50,49,25
Blattodea,Blattellidae,Blattella,Blattella_vaga,,XO,,24,23,12
Blattodea,Blaberidae,Byrsotria,Byrsotria_fumigata,,XO,,48,47,24
Blattodea,Blaberidae,Capucina,Capucina_patula,,XO,,38,37,19
Blattodea,Blattellidae,Cariblatta,Cariblatta_lutea_minima,,XO,,26,25,13
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_punctulatus,gonochorous,XO, multivalent absent order listed as Dictyoptera,48,47,24
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_primarius,,XO, multivalent absent order listed as Dictyoptera,20,19,10
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_punctulatus,,XO, multivalent absent order listed as Dictyoptera,38,37,19
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_relictus,,XO, multivalent absent order listed as Dictyoptera,18,17,9
Blattodea,Blattidae,Cryptocercus,Cryptocercus_punctulatus,,XO,,40,39,20
Blattodea,Blattellidae,Dendroblatta,Dendroblatta_cnephaia,,XO,,32,31,16
Blattodea,Blattellidae,Dendroblatta,Dendroblatta_sobrina,,XO,,26,25,13
Blattodea,Blattidae,Deropeltis,Deropeltis_erythrocephala,,XO,,50,49,25
Blattodea,Blaberidae,Diploptera,Diploptera_punctata,,XO,,48,47,24
Blattodea,Blattidae,Duchailluia,Duchailluia_n.sp.,,XO,,42,41,21
Blattodea,Blattellidae,Ectobius,Ectobius_pallidus,,XO,,22,21,11
Blattodea,Blaberidae,Epilampra,Epilampra_abdomennigrum,,XO,,42,41,21
Blattodea,Blaberidae,Epilampra,Epilampra_grisea,,XO,,50,49,25
Blattodea,Blaberidae,Epilampra,Epilampra_maculicollis,,XO,,38,37,19
Blattodea,Blaberidae,Epilampra,Epilampra_maya,,XO,,36,35,18
Blattodea,Blaberidae,Epilampra,Epilampra_sagitta,,XO,,44,43,22
Blattodea,Blaberidae,Epilampra,Epilampra_sp.81B,,XO,,40,39,20
Blattodea,Blaberidae,Eublaberus,Eublaberus_distanti,,XO,,66,65,33
Blattodea,Blaberidae,Eublaberus,Eublaberus_posticus,,XO,,44,43,22
Blattodea,Blattidae,Eurycotis,Eurycotis_biolleyi,,XO,,22,21,11
Blattodea,Blattidae,Eurycotis,Eurycotis_decipiens,,XO,,28,27,14
Blattodea,Blattidae,Eurycotis,Eurycotis_floridana,,XO,,28,27,14
Blattodea,Blaberidae,Galiblatta,Galiblatta_williamsi,,XO,,28,27,14
Blattodea,Blattellidae,Gislenia,Gislenia_australica,,XO,,34,33,17
Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina_brunneri,,XO,,64,63,32
Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina_chopardi,,XO,,76,75,38
Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina_portentosa,,XO,,64,63,32
Blattodea,Blattellidae,Hemithyrsocera,Hemithyrsocera_latera/is,,XO,,26,25,13
Blattodea,Blaberidae,Hormetica,Hormetica_scrobiculata,,XO,,32,31,16
Blattodea,Blaberidae,Hormetica,Hormetica_ventralis,,XO,,32,31,16
Blattodea,Blaberidae,Hyporhicnoda,Hyporhicnoda_litomorpha,,XO,,44,43,22
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_castanea,,XO,,34,33,17
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_deropeltiformis,,XO,,50,49,25
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_galibi,,XO,,44,43,22
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_mura,,XO,,34,33,17
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_panamae,,XO,,40,39,20
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_rufa_rufa,,XO,,40,39,20
Blattodea,Blattellidae,Ischnoptera,Ischnoptera_sp.93B,,XO,,38,37,19
Blattodea,Blattidae,Lamproblatta,Lamproblatta_albipalpus,,XO,,18,17,9
Blattodea,Blaberidae,Lanxoblatta,Lanxoblatta_emarginata,,XO,,66,65,33
Blattodea,Polyphagidae,Latindia,Latindia_sp.3,,,,NA,22,11
Blattodea,Blaberidae,Leucophaea,Leucophaea_maderae,,XO,,24,23,12
Blattodea,Blattellidae,Loboptera,Loboptera_decipiens,,XO,,34,33,17
Blattodea,Blattellidae,Lobopterella,Lobopterella_dimidiatipes,,XO,,38,37,19
Blattodea,Blattellidae,Lophoblatta,Lophoblatta_brevis,,XO,,32,31,16
Blattodea,Blattellidae,Lophoblatta,Lophoblatta_fissa,,XO,,16,15,8
Blattodea,Blattellidae,Lupparia,Lupparia_notulata,,XO,,20,19,10
Blattodea,Blaberidae,Macropanesthia,Macropanesthia_rhinoceros,,XO,,80,79,40
Blattodea,Blattellidae,Margattea,Margattea_punctulata,,XO,,32,31,16
Blattodea,Blattellidae,Nahublattella,Nahublattella_n.sp.72B,,XO,,20,19,10
Blattodea,Blaberidae,Nauphoeta,Nauphoeta_cinerea,,XO,,38,37,19
Blattodea,Blaberidae,Panchlora,Panchlora_nivea,,XO,,36,35,18
Blattodea,Blaberidae,Panchlora,Panchlora_sp.,,XO,,32,31,16
Blattodea,Blaberidae,Panchlora,Panchlora_viridis,,XO,,38,37,19
Blattodea,Blaberidae,Panesthia,Panesthia_sp.,,XO,,38,37,19
Blattodea,Blaberidae,Panesthia,Panesthia_stellata,,XO,,38,37,19
Blattodea,Blattellidae,Parasymploce,Parasymploce_limbata,,XO,,24,23,12
Blattodea,Blattellidae,Parasymploce,Parasymploce_sp.25T,,XO,,32,31,16
Blattodea,Blattellidae,Parasymploce,Parasymploce_sp.30T,,XO,,32,31,16
Blattodea,Blattellidae,Parcoblatta,Parcoblatta_fulvescens,,XO,,38,37,19
Blattodea,Blattellidae,Parcoblatta,Parcoblatta_pennsylvanica,,XO,,38,37,19
Blattodea,Blattidae,Pelmatosilpha,Pelmatosilpha_coriacea,,XO,,38,37,19
Blattodea,Blattidae,Periplaneta,Periplaneta_americana,,XO,,34,33,17
Blattodea,Blattidae,Periplaneta,Periplaneta_australasiae,,XO,,28,27,14
Blattodea,Blattidae,Periplaneta,Periplaneta_brunnea,,XO,,28,27,14
Blattodea,Blattidae,Periplaneta,Periplaneta_fuliginosa,,XO,,28,27,14
Blattodea,Blattidae,Periplaneta,Periplaneta_japonica,,XO,,34,33,17
Blattodea,Blaberidae,Petasodes,Petasodes_dominicana,,XO,,54,53,27
Blattodea,Blaberidae,Phoetalia,Phoetalia_circumvagans,,XO,,54,53,27
Blattodea,Blaberidae,Phortioica,Phortioica_phoraspoides,,XO,,66,65,33
Blattodea,Blaberidae,Pinaconota,Pinaconota_sicca,,XO,,34,33,17
Blattodea,Polyphagidae,Polyphaga,Polyphaga_aegyptiaca,,XO,,64,63,32
Blattodea,Blaberidae,Proscratea,Proscratea_complanata,,XO,,36,35,18
Blattodea,Blattellidae,Pseudomops,Pseudomops_septentrionalis,,XO,,32,31,16
Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus_indicus,,XO,,36,35,18
Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus_surinamensis,,,,35,NA,18
Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus_surinamensis,,,,53,NA,27
Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta_annandalei,,XO,,50,49,25
Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta_sp.39T,,XO,,32,31,16
Blattodea,Blattellidae,Shawella,Shawella_couloniana,,XO,,36,35,18
Blattodea,Blaberidae,Sp.,Sp._sp41B,,XO,,30,29,15
Blattodea,Blattellidae,Supella,Supella_longipalpa,,XO,,20,19,10
Blattodea,Blattellidae,Symploce,Symploce_capitata,,XO,,28,27,14
Blattodea,Blattellidae,Symploce,Symploce_fusca,,XO,,30,29,15
Blattodea,Blattellidae,Symplocodes,Symplocodes_marmorata,,XO,,40,39,20
Blattodea,Blattellidae,Symplocodes,Symplocodes_n.sp.50,,XO,,38,37,19
Blattodea,Blattellidae,Xestoblatta,Xestoblatta_immaculata,,XO,,38,37,19
Dermaptera,Forficulidae,Anechura,Anechura_bipunctata,,XY,,24,24,12
Dermaptera,Labiduridae,Anisolabis,Anisolabis_marginalis,,complex XY,XXY,26,25,13
Dermaptera,Labiduridae,Anisolabis,Anisolabis_maritima,,complex XY,XXY,26,25,13
Dermaptera,Labiduridae,Anisolabis,Anisolabis_sp,,complex XY,XXXY,44,42,22
Dermaptera,Labiduridae,Anisolabis,Anisolabis_annuipes,,complex XY,,26,25,13
Dermaptera,Forficulidae,Apterygida,Apterygida_albipennis,,XY,,24,24,12
Dermaptera,Arixenidae,Arixenia,Arixenia_esau,,XY,,60,60,30
Dermaptera,Labiidae,Chaetospania,Chaetospania_brunner,,complex XY,XXXXY,34,31,17
Dermaptera,Labiidae,Chaetospania,Chaetospania_sp.1,,complex XY,XXY,22,21,11
Dermaptera,Labiidae,Chaetospania,Chaetospania_sp.2,,complex XY,XXY,22,21,11
Dermaptera,Pygicranidae,Dacnodes,Dacnodes_shortridgei,,XO,,12,11,6
Dermaptera,Pygicranidae,Diplatys,Diplatys_gladiator,,XY,,18,18,9
Dermaptera,Labiduridae,Euborellia,Euborellia_annulipes,,complex XY,XXY,26,25,13
Dermaptera,Labiduridae,Euborellia,Euborellia_moesta,,complex XY,XXY,26,25,13
Dermaptera,Labiduridae,Euborellia,Euborellia_stali,,complex XY,XXY,26,25,13
Dermaptera,Forficulidae,Forficula,Forficula_scudderi,,XY,,24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_smyrnensis,,complex XY,XXY,29,21,15
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,24,25,12
Dermaptera,Forficulidae,Forficula,Forficula_scudderi,,XY,,24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_smyrnensis,,complex XY,XXY,22,21,11
Dermaptera,Forficulidae,Forficula,Forficula_sp,,complex XY,XXY,28,27,14
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,26,25,13
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,25,NA,13
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,26,NA,13
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,XY,XY males (fused X1X2),24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,XY,,24,24,12
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,complex XY,XXY,NA,25,13
Dermaptera,Forficulidae,Forficula,Forficula_auricularia,,,,24,NA,12
Dermaptera,Labiduridae,Gonolabis,Gonolabis_brunneri,,XY,,24,24,12
Dermaptera,Hemimeridae,Hemimerus,Hemimerus_bouvieri,,complex XY,XXY,8,7,4
Dermaptera,Labiidae,Labia,Labia_minor,,XY,,14,14,7
Dermaptera,Labiidae,Labia,Labia_sp.,,XY,,18,18,9
Dermaptera,Labiduridae,Labidura,Labidura_riparia,,XY,heterochromatic Y from Brazil,12,12,6
Dermaptera,Labiduridae,Labidura,Labidura_truncata,,XY,,10,10,5
Dermaptera,Labiduridae,Labidura,Labidura_bidens,,XY,,12,12,6
Dermaptera,Labiduridae,Labidura,Labidura_riparia,,XY,,14,14,7
Dermaptera,Labiduridae,Labidura,Labidura_truncata,,XY,,10,10,5
Dermaptera,Labiduridae,Labidura,Labidura_riparia,,XY,,12,12,6
Dermaptera,Labiduridae,Labidura,Labidura_bengalensis,,XY,from India,14,14,7
Dermaptera,Labiduridae,Nala,Nala_lividipes,,complex XY,XXY,38,37,19
Dermaptera,Labiduridae,Nala,Nala_lividipes,,XY,,34,34,17
Dermaptera,Labiduridae,Nala,Nala_lividipes,,XY,,40,40,20
Dermaptera,Labiidae,Nesogaster,Nesogaster_erichsoni,,complex XY,XXY,22,21,11
Dermaptera,Labiidae,Nesogaster,Nesogaster_halli,,XO,,22,19,11
Dermaptera,Labiduridae,Notolabis,Notolabis_occidentalis,,XY,,24,24,12
Dermaptera,Labiduridae,Parisopsalis,Parisopsalis_spryi,,complex XY,XXXY,34,32,17
Dermaptera,Labiidae,Prolabia,Prolabia_arachidis,,complex XY,XXXY,40,38,20
Dermaptera,Forficulidae,Pseudochelidura,Pseudochelidura_sinuata,,complex XY,XXY,26,25,13
Dermaptera,Labiidae,unknown,unknown_Sp.,,complex XY,XXY,38,37,19
Dermaptera,Pygicranidae,unknown,unknown_sp.,,XY,,20,20,10
Embiidina,Embiidae,Cleomia,Cleomia_guareschii,,XO,,22,21,11
Embiidina,Embiidae,Embia,Embia_nuragica,,XO,,24,23,12
Embiidina,Embiidae,Embia,Embia_ramburi,,XO,,22,21,11
Embiidina,Embiidae,Embia,Embia_tyrrhenica,,XO,,22,21,11
Embiidina,Oligotomidae,Haploembia,Haploembia_palaui,,XO,,22,21,11
Embiidina,Oligotomidae,Haploembia,Haploembia_solieri,,XO,,20,19,10
Embiidina,Oligotomidae,Oligotoma,Oligotoma_japonica,,XO,,20,19,10
Embiidina,Oligotomidae,Oligotoma,Oligotoma_saundersi,,XO,,22,21,11
Grylloblata,Grylloblatidae,Galloisiana,Galloisiana_nipponensis,gonochorous,XY,heteromorphic,30,30,15
Grylloblata,Grylloblatidae,Grylloblatta,Grylloblatta_campodeioformis,gonochorous,XY,metacentric X and Y associated by one arm,30,NA,15
Isoptera,Termitidae,Acidnotermes,Acidnotermes_praus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Afrosubulitermes,Afrosubulitermes_congoensis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Amitermes,Amitermes_darwini,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Amitermes,Amitermes_eucalipti,,,,42,NA,21
Isoptera,Termitidae,Amitermes,Amitermes_germanus,,,,42,NA,21
Isoptera,Termitidae,Amitermes,Amitermes_parvus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Kalotermitidae,Bifiditermes,Bifiditermes_improbus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,36,35,18
Isoptera,Rhinotermitidae,Coptotermes,Coptotermes_acinaciformis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Crenetermes,Crenetermes_albotarsalis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_domesticus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,30,29,15
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_secundus,,,,40,NA,20
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_austrinus,gonochorous,,,NA,40,20
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_brevis,gonochorous,complex XY|homomorphic,X1X1/X1Y1Y2,36,37,18
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_cristatus,gonochorous,,,NA,46,23
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_cynocephalus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,44,43,22
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_domesticus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,30,29,15
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_dudleyi,gonochorous,,,40,40,20
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_gearyi,gonochorous,XY|homomorphic,,NA,48,24
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_papulosus,gonochorous,,,42,NA,21
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_primus,gonochorous,,,30,NA,15
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_queenslandis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,42,41,21
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_riverinae,gonochorous,,,42,42,21
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_secundus,gonochorous,,,40,40,20
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_sp.,gonochorous,,,NA,47,24
Isoptera,Termitidae,Cubitermes,Cubitermes_exiguus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Cubitermes,Cubitermes_sankurensis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Cubitermes,Cubitermes_sp._1.,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Cubitermes,Cubitermes_weissi,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Drepanotermes,Drepanotermes_septentrionalis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Ephelotermes,Ephelotermes_melachoma,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Ephelotermes,Ephelotermes_taylori,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Kalotermitidae,Glyptotermes,Glyptotermes_brevicornis,gonochorous,,,42,NA,21
Isoptera,Kalotermitidae,Glyptotermes,Glyptotermes_iridipennis,gonochorous,,,NA,42,21
Isoptera,Kalotermitidae,Incisitermes,Incisitermes_barretti,gonochorous,,,NA,42,21
Isoptera,Kalotermitidae,Incisitermes,Incisitermes_sp.,gonochorous,,,42,NA,21
Isoptera,Kalotermitidae,Kalotermes,Kalotermes_flavicollis,,complex XY|homomorphic,X1X1X2X2/X1X2Y1,68,67,34
Isoptera,Kalotermitidae,Kalotermes,Kalotermes_convexus,gonochorous,,,NA,46,23
Isoptera,Termitidae,Kalotermes,Kalotermes_approximatus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1 sex-linked multivalent in males,34,33,17
Isoptera,Termitidae,Kalotermes,Kalotermes_approximatus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,32,NA,16
Isoptera,Termitidae,Kalotermes,Kalotermes_Flavicollis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,61,NA,31
Isoptera,Termitidae,Lophotermes,Lophotermes_septentrionalis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Macrognathotermes,Macrognathotermes_sunteri,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Macrotermes,Macrotermes_bellicosus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Mastotermes,Mastotermes_darwiniensis,gonochorous,XY|homomorphic, multivalent absent,98,NA,49
Isoptera,Termitidae,Microcerotermes,Microcerotermes_boreus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Microcerotermes,Microcerotermes_nervosus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Microcerotermes,Microcerotermes_fuscotibiatis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Microcerotermes,Microcerotermes_parvulus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Microcerotermes,Microcerotermes_sp.1,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,44,NA,22
Isoptera,Termitidae,Microcerotermes,Microcerotermes_sp.2,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Microtermes,Microtermes_sp.1,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Nasutitermes,Nasutitermes_graveolus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Nasutitermes,Nasutitermes_longipennis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Nasutitermes,Nasutitermes_triodiae,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,21
Isoptera,Termitidae,Nasutitermes,Nasutitermes_arboreus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Kalotermitidae,Neotermes,Neotermes_insularis,gonochorous,complex XY,XXXYYY,52,52,26
Isoptera,Kalotermitidae,Neotermes,Neotermes_insularis,gonochorous,,,NA,60,30
Isoptera,Termitidae,Noditermes,Noditermes_lamanianus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,38,NA,19
Isoptera,Termitidae,Odontotermes,Odontotermes_redemanni,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,48,NA,24
Isoptera,Termitidae,Odontotermes,Odontotermes_snyderi,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Odontotermes,Odontotermes_sp.1,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Ophiotermes,Ophiotermes_mandibularis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Termitidae,Pericapritermes,Pericapritermes_sp.1,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
Isoptera,Stolotermitidae,Porotermes,Porotermes_adamsoni,gonochorous,,,40,40,20
Isoptera,Kalotermitidae,Procryptotermes,Procryptotermes_australiensis,gonochorous,complex XY,X1X1X2X2/X1X2Y1,48,47,24
Isoptera,Termitidae,Procubitermes,Procubitermes_sp._1,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,38,NA,19
Isoptera,Termitidae,Protermes,Protermes_minimus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,21
